match_id,tsync,radiant_avg_distance,dire_avg_distance
643833001,2935,81.03664401,86.11383486
643837106,1050,106.6511593,96.60253949
644374912,2008,77.43011279,100.1431723
644561255,3135,77.53988244,92.01448332
644617314,2474,79.59510102,73.56883156
644676572,2440,86.3601043,91.75657838
644725431,2173,82.60678008,91.68027829
644745895,2149,87.5437654,71.77223893
644790017,545,83.41876768,106.457836
644837381,1623,88.93919832,75.9130838
644940512,3785,99.17626558,89.13131451
644941370,2552,85.13061019,84.3980104
644957827,2418,85.78597508,86.87228843
645037586,1644,80.79723692,95.35588229
645047492,1812,88.411434,89.97644037
645077087,3009,78.82274608,81.77339852
645093123,1571,92.90536695,74.81099403
645112787,4065,81.81413513,84.18226297
645138849,1472,91.99400347,90.45632631
645149155,2251,94.31361124,89.68675777
625840949,2348,81.47051026,72.77089101
645153730,1583,74.40562721,82.43458163
638374052,2185,103.5048026,88.89116397
645181933,2527,74.83357073,77.79221881
645191970,2000,80.79378155,97.51153628
645197172,3017,69.35049595,80.2605281
645199327,3252,66.20501696,83.78397062
645212603,3047,90.70962787,93.57288501
645223470,2513,77.52284723,80.22138967
645228608,1952,84.08102023,70.34832331
645231926,3409,74.22110588,78.37215498
645231935,2900,82.13783068,75.28771006
645252358,2347,70.36078339,73.91431845
645258275,1517,99.8601522,99.87746273
645260190,2178,92.60879854,92.83447323
645268274,1801,90.90868978,98.53066079
645274767,3144,82.56020651,64.73292217
645282289,1727,71.4476833,96.8611141
645284166,1732,87.59786642,73.49894724
623246765,2187,89.5389658,85.80166372
645312257,2359,68.2696086,74.25050817
645318558,1668,86.20001195,69.00881206
645319525,3476,76.63038465,79.1787107
645347209,2629,70.71603298,82.53004878
645358352,2466,78.56892684,87.08781114
645396133,1126,80.47261598,82.25456208
645867950,3087,79.14193343,81.59939678
646049346,3426,70.20329795,100.3325271
621041235,2024,71.41811273,86.73419535
646416200,1681,81.56621199,82.24936556
646501704,2097,73.59386221,83.66371724
647752500,2885,91.97133318,79.86325368
645181933,2527,74.83357073,77.79221881
647826183,2661,85.06790266,78.06012371
647868978,1234,88.5074951,91.40737511
647869043,3804,67.79129088,67.6111318
648005989,2046,86.22271963,75.67564684
648148700,1604,78.25629271,85.92252813
648170324,2588,83.80270307,74.20339441
648244534,2131,78.25090232,87.60869555
648246832,1790,77.8734292,83.26030268
648267400,2436,79.65380402,82.25302391
648271831,2894,77.52654357,88.29304482
648283764,2610,85.88401355,81.47111467
