match_id,winner,tier,radiant_avg_distance,dire_avg_distance
627166226,radiant,High,97.96366114,79.20043866
627616609,radiant,High,84.21653187,80.8708046
627623750,radiant,Normal,112.4555515,101.5438303
627677789,radiant,Normal,88.30553785,89.22746756
627832188,radiant,Normal,102.0948942,84.65740134
627845961,dire,Normal,109.9631294,119.6139507
628111860,dire,High,71.40061477,81.47431178
628172689,radiant,Normal,104.9246562,90.40140095
628202167,dire,High,81.61061747,87.52367981
628238411,radiant,Normal,106.0454513,89.10577831
628328743,radiant,Normal,88.34440855,83.61341805
628546255,dire,Normal,57.795799,118.7449227
628557042,dire,Normal,97.61790727,94.62460054
629067363,radiant,High,86.58714527,74.38724244
629142053,dire,High,109.9631294,119.6139507
634751129,radiant,VeryHigh,93.79061393,82.66144337
634790888,dire,VeryHigh,72.82254589,83.91010367
636257744,dire,VeryHigh,85.37394966,95.32417458
636303474,dire,VeryHigh,78.82182682,92.08076135
636311751,dire,VeryHigh,86.9377676,83.70077584
636342671,radiant,VeryHigh,92.13203741,94.732815
636381308,radiant,VeryHigh,78.79415438,75.91561142
636420810,dire,VeryHigh,85.69092439,88.16256871
636469748,radiant,Normal,89.50274961,75.48605189
636476209,radiant,VeryHigh,112.095893,72.70028082
636512456,dire,VeryHigh,78.40560803,95.17922667
636585258,dire,VeryHigh,75.95585871,78.69199045
637461379,dire,VeryHigh,91.46604245,100.7328587
638324033,radiant,Normal,84.62811778,79.01759094
638374052,radiant,Normal,103.5048026,88.89116397
638399346,radiant,VeryHigh,96.74434102,104.6088183
638431876,dire,Normal,82.89435167,85.60843978
638444119,radiant,VeryHigh,94.16636922,91.98794063
638514403,radiant,Normal,99.60261551,113.091328
638646888,dire,Normal,74.06102132,96.57184087
639655565,radiant,VeryHigh,80.96680742,97.90893979
639915588,dire,Normal,80.08421665,88.99587622
639928171,radiant,Normal,84.93167335,78.44388428
639943860,radiant,VeryHigh,77.67315079,79.47674363
639944687,radiant,Normal,82.62063388,68.76274636
640022519,radiant,Normal,71.03832841,76.68437625
640050884,dire,High,77.62067896,73.90576139
640088992,radiant,VeryHigh,60.8312245,65.89899416
640183396,dire,VeryHigh,69.12858329,75.22348879
641405166,radiant,High,84.44209158,81.0695429
641717130,radiant,Normal,86.92459111,74.68258864
641756777,dire,Normal,97.84773717,110.4024415
641869130,dire,Normal,88.97965818,85.97141266
